#nu mu I
1.168900e+15 1.000000e-06 1.211585e-01
1.168900e+15 6.146288e-03 1.399304e-01
1.168900e+15 1.228602e-02 1.381446e-01
1.168900e+15 1.842528e-02 1.373425e-01
1.168900e+15 2.456386e-02 1.368791e-01
1.168900e+15 3.070150e-02 1.365738e-01
1.168900e+15 3.684798e-02 1.363570e-01
1.168900e+15 4.298308e-02 1.361964e-01
1.168900e+15 4.911656e-02 1.360749e-01
1.168900e+15 5.524818e-02 1.359823e-01
1.168900e+15 6.137772e-02 1.359118e-01
1.168900e+15 6.751493e-02 1.358591e-01
1.168900e+15 7.363961e-02 1.358206e-01
1.168900e+15 7.976151e-02 1.357939e-01
1.168900e+15 8.588041e-02 1.357770e-01
1.168900e+15 9.199607e-02 1.357683e-01
1.168900e+15 9.810826e-02 1.357665e-01
1.168900e+15 1.042267e-01 1.357708e-01
1.168900e+15 1.103312e-01 1.357800e-01
1.168900e+15 1.164316e-01 1.357936e-01
1.168900e+15 1.225277e-01 1.358109e-01
1.168900e+15 1.286190e-01 1.358315e-01
1.168900e+15 1.347155e-01 1.358548e-01
1.168900e+15 1.407969e-01 1.358806e-01
1.168900e+15 1.468731e-01 1.359084e-01
1.168900e+15 1.529437e-01 1.359382e-01
1.168900e+15 1.590085e-01 1.359695e-01
1.168900e+15 1.650772e-01 1.360023e-01
1.168900e+15 1.711299e-01 1.360361e-01
1.168900e+15 1.771760e-01 1.360711e-01
1.168900e+15 1.832155e-01 1.361069e-01
1.168900e+15 1.892481e-01 1.361436e-01
1.168900e+15 1.952735e-01 1.361809e-01
1.168900e+15 2.013014e-01 1.362188e-01
1.168900e+15 2.073119e-01 1.362572e-01
1.168900e+15 2.133145e-01 1.362960e-01
1.168900e+15 2.193092e-01 1.363352e-01
1.168900e+15 2.252955e-01 1.363746e-01
1.168900e+15 2.312831e-01 1.364142e-01
1.168900e+15 2.372522e-01 1.364542e-01
1.168900e+15 2.432124e-01 1.364942e-01
1.168900e+15 2.491634e-01 1.365343e-01
1.168900e+15 2.551050e-01 1.365745e-01
1.168900e+15 2.610467e-01 1.366148e-01
1.168900e+15 2.669688e-01 1.366551e-01
1.168900e+15 2.728809e-01 1.366953e-01
1.168900e+15 2.787827e-01 1.367355e-01
1.168900e+15 2.846740e-01 1.367757e-01
1.168900e+15 2.905641e-01 1.368159e-01
1.168900e+15 2.964337e-01 1.368559e-01
1.168900e+15 3.022921e-01 1.368959e-01
1.168900e+15 3.081391e-01 1.369358e-01
1.168900e+15 3.139745e-01 1.369755e-01
1.168900e+15 3.198075e-01 1.370151e-01
1.168900e+15 3.256190e-01 1.370546e-01
1.168900e+15 3.314182e-01 1.370939e-01
1.168900e+15 3.372049e-01 1.371331e-01
1.168900e+15 3.429789e-01 1.371721e-01
1.168900e+15 3.487493e-01 1.372109e-01
1.168900e+15 3.544972e-01 1.372496e-01
1.168900e+15 3.602318e-01 1.372881e-01
1.168900e+15 3.659527e-01 1.373264e-01
1.168900e+15 3.716599e-01 1.373645e-01
1.168900e+15 3.773530e-01 1.374024e-01
1.168900e+15 3.830412e-01 1.374401e-01
1.168900e+15 3.887056e-01 1.374776e-01
1.168900e+15 3.943554e-01 1.375150e-01
1.168900e+15 3.999904e-01 1.375520e-01
1.168900e+15 4.056102e-01 1.375890e-01
1.168900e+15 4.112239e-01 1.376257e-01
1.168900e+15 4.168129e-01 1.376622e-01
1.168900e+15 4.223862e-01 1.376984e-01
1.168900e+15 4.279436e-01 1.377346e-01
1.168900e+15 4.334849e-01 1.377704e-01
1.168900e+15 4.390188e-01 1.378060e-01
1.168900e+15 4.445272e-01 1.378416e-01
1.168900e+15 4.500187e-01 1.378768e-01
1.168900e+15 4.554934e-01 1.379118e-01
1.168900e+15 4.609508e-01 1.379466e-01
1.168900e+15 4.663909e-01 1.379812e-01
1.168900e+15 4.718222e-01 1.380155e-01
1.168900e+15 4.772269e-01 1.380496e-01
1.168900e+15 4.826135e-01 1.380836e-01
1.168900e+15 4.879820e-01 1.381173e-01
1.168900e+15 4.933321e-01 1.381508e-01
1.168900e+15 4.986723e-01 1.381841e-01
1.168900e+15 5.039849e-01 1.382172e-01
1.168900e+15 5.092786e-01 1.382500e-01
1.168900e+15 5.145531e-01 1.382826e-01
1.168900e+15 5.198081e-01 1.383150e-01
1.168900e+15 5.250521e-01 1.383472e-01
1.168900e+15 5.302677e-01 1.383792e-01
1.168900e+15 5.354634e-01 1.384110e-01
1.168900e+15 5.406414e-01 1.384426e-01
1.168900e+15 5.457973e-01 1.384739e-01
1.168900e+15 5.509326e-01 1.385050e-01
1.168900e+15 5.560488e-01 1.385359e-01
1.168900e+15 5.611432e-01 1.385666e-01
1.168900e+15 5.662156e-01 1.385971e-01
1.168900e+15 5.712683e-01 1.386274e-01
1.168900e+15 5.762978e-01 1.386574e-01
1.168900e+15 5.813072e-01 1.386873e-01
1.168900e+15 5.862931e-01 1.387169e-01
1.168900e+15 5.912576e-01 1.387463e-01
1.168900e+15 5.961998e-01 1.387755e-01
1.168900e+15 6.011204e-01 1.388045e-01
1.168900e+15 6.060167e-01 1.388333e-01
1.168900e+15 6.108909e-01 1.388619e-01
1.168900e+15 6.157420e-01 1.388902e-01
1.168900e+15 6.205699e-01 1.389184e-01
1.168900e+15 6.253737e-01 1.389463e-01
1.168900e+15 6.301554e-01 1.389741e-01
1.168900e+15 6.349118e-01 1.390016e-01
1.168900e+15 6.396450e-01 1.390289e-01
1.168900e+15 6.443541e-01 1.390560e-01
1.168900e+15 6.490388e-01 1.390829e-01
1.168900e+15 6.536991e-01 1.391096e-01
1.168900e+15 6.583348e-01 1.391361e-01
1.168900e+15 6.629463e-01 1.391624e-01
1.168900e+15 6.675313e-01 1.391885e-01
1.168900e+15 6.720919e-01 1.392143e-01
1.168900e+15 6.766272e-01 1.392400e-01
1.168900e+15 6.811369e-01 1.392655e-01
1.168900e+15 6.856209e-01 1.392907e-01
1.168900e+15 6.900791e-01 1.393157e-01
1.168900e+15 6.945112e-01 1.393406e-01
1.168900e+15 6.989171e-01 1.393653e-01
1.168900e+15 7.032960e-01 1.393897e-01
1.168900e+15 7.076490e-01 1.394139e-01
1.168900e+15 7.119747e-01 1.394379e-01
1.168900e+15 7.162749e-01 1.394618e-01
1.168900e+15 7.205473e-01 1.394855e-01
1.168900e+15 7.247919e-01 1.395089e-01
1.168900e+15 7.290099e-01 1.395321e-01
1.168900e+15 7.332010e-01 1.395551e-01
1.168900e+15 7.373631e-01 1.395779e-01
1.168900e+15 7.414981e-01 1.396006e-01
1.168900e+15 7.456050e-01 1.396231e-01
1.168900e+15 7.496839e-01 1.396453e-01
1.168900e+15 7.537352e-01 1.396673e-01
1.168900e+15 7.577573e-01 1.396891e-01
1.168900e+15 7.617502e-01 1.397107e-01
1.168900e+15 7.657150e-01 1.397322e-01
1.168900e+15 7.696510e-01 1.397535e-01
1.168900e+15 7.735579e-01 1.397745e-01
1.168900e+15 7.774350e-01 1.397953e-01
1.168900e+15 7.812840e-01 1.398159e-01
1.168900e+15 7.851029e-01 1.398365e-01
1.168900e+15 7.888923e-01 1.398567e-01
1.168900e+15 7.926512e-01 1.398767e-01
1.168900e+15 7.963808e-01 1.398966e-01
1.168900e+15 8.000811e-01 1.399163e-01
1.168900e+15 8.037499e-01 1.399357e-01
1.168900e+15 8.073890e-01 1.399551e-01
1.168900e+15 8.109982e-01 1.399741e-01
1.168900e+15 8.145763e-01 1.399929e-01
1.168900e+15 8.181230e-01 1.400117e-01
1.168900e+15 8.216389e-01 1.400301e-01
1.168900e+15 8.251249e-01 1.400485e-01
1.168900e+15 8.285793e-01 1.400665e-01
1.168900e+15 8.320018e-01 1.400845e-01
1.168900e+15 8.353941e-01 1.401023e-01
1.168900e+15 8.387542e-01 1.401197e-01
1.168900e+15 8.420822e-01 1.401371e-01
1.168900e+15 8.453790e-01 1.401543e-01
1.168900e+15 8.486439e-01 1.401711e-01
1.168900e+15 8.518768e-01 1.401879e-01
1.168900e+15 8.550770e-01 1.402045e-01
1.168900e+15 8.582460e-01 1.402209e-01
1.168900e+15 8.613821e-01 1.402371e-01
1.168900e+15 8.644852e-01 1.402531e-01
1.168900e+15 8.675562e-01 1.402689e-01
1.168900e+15 8.705950e-01 1.402845e-01
1.168900e+15 8.735999e-01 1.402999e-01
1.168900e+15 8.765719e-01 1.403151e-01
1.168900e+15 8.795118e-01 1.403301e-01
1.168900e+15 8.824180e-01 1.403451e-01
1.168900e+15 8.852910e-01 1.403597e-01
1.168900e+15 8.881301e-01 1.403741e-01
1.168900e+15 8.909361e-01 1.403885e-01
1.168900e+15 8.937090e-01 1.404025e-01
1.168900e+15 8.964468e-01 1.404165e-01
1.168900e+15 8.991522e-01 1.404301e-01
1.168900e+15 9.018231e-01 1.404437e-01
1.168900e+15 9.044601e-01 1.404571e-01
1.168900e+15 9.070630e-01 1.404702e-01
1.168900e+15 9.096320e-01 1.404831e-01
1.168900e+15 9.121659e-01 1.404959e-01
1.168900e+15 9.146662e-01 1.405085e-01
1.168900e+15 9.171312e-01 1.405209e-01
