#nu mu I
2.071001e+15 1.000000e-06 5.112450e-01
2.071001e+15 6.146288e-03 6.490170e-01
2.071001e+15 1.228602e-02 6.499090e-01
2.071001e+15 1.842528e-02 6.506930e-01
2.071001e+15 2.456386e-02 6.514180e-01
2.071001e+15 3.070150e-02 6.521030e-01
2.071001e+15 3.684798e-02 6.527560e-01
2.071001e+15 4.298308e-02 6.533850e-01
2.071001e+15 4.911656e-02 6.539920e-01
2.071001e+15 5.524818e-02 6.545780e-01
2.071001e+15 6.137772e-02 6.551480e-01
2.071001e+15 6.751493e-02 6.557010e-01
2.071001e+15 7.363961e-02 6.562390e-01
2.071001e+15 7.976151e-02 6.567630e-01
2.071001e+15 8.588041e-02 6.572760e-01
2.071001e+15 9.199607e-02 6.577760e-01
2.071001e+15 9.810826e-02 6.582650e-01
2.071001e+15 1.042267e-01 6.587440e-01
2.071001e+15 1.103312e-01 6.592120e-01
2.071001e+15 1.164316e-01 6.596720e-01
2.071001e+15 1.225277e-01 6.601240e-01
2.071001e+15 1.286190e-01 6.605670e-01
2.071001e+15 1.347155e-01 6.610020e-01
2.071001e+15 1.407969e-01 6.614290e-01
2.071001e+15 1.468731e-01 6.618500e-01
2.071001e+15 1.529437e-01 6.622630e-01
2.071001e+15 1.590085e-01 6.626710e-01
2.071001e+15 1.650772e-01 6.630710e-01
2.071001e+15 1.711299e-01 6.634650e-01
2.071001e+15 1.771760e-01 6.638550e-01
2.071001e+15 1.832155e-01 6.642370e-01
2.071001e+15 1.892481e-01 6.646150e-01
2.071001e+15 1.952735e-01 6.649870e-01
2.071001e+15 2.013014e-01 6.653550e-01
2.071001e+15 2.073119e-01 6.657170e-01
2.071001e+15 2.133145e-01 6.660750e-01
2.071001e+15 2.193092e-01 6.664290e-01
2.071001e+15 2.252955e-01 6.667770e-01
2.071001e+15 2.312831e-01 6.671210e-01
2.071001e+15 2.372522e-01 6.674610e-01
2.071001e+15 2.432124e-01 6.677970e-01
2.071001e+15 2.491634e-01 6.681290e-01
2.071001e+15 2.551050e-01 6.684570e-01
2.071001e+15 2.610467e-01 6.687810e-01
2.071001e+15 2.669688e-01 6.691010e-01
2.071001e+15 2.728809e-01 6.694170e-01
2.071001e+15 2.787827e-01 6.697310e-01
2.071001e+15 2.846740e-01 6.700410e-01
2.071001e+15 2.905641e-01 6.703470e-01
2.071001e+15 2.964337e-01 6.706490e-01
2.071001e+15 3.022921e-01 6.709490e-01
2.071001e+15 3.081391e-01 6.712460e-01
2.071001e+15 3.139745e-01 6.715390e-01
2.071001e+15 3.198075e-01 6.718290e-01
2.071001e+15 3.256190e-01 6.721170e-01
2.071001e+15 3.314182e-01 6.724010e-01
2.071001e+15 3.372049e-01 6.726830e-01
2.071001e+15 3.429789e-01 6.729610e-01
2.071001e+15 3.487493e-01 6.732370e-01
2.071001e+15 3.544972e-01 6.735100e-01
2.071001e+15 3.602318e-01 6.737810e-01
2.071001e+15 3.659527e-01 6.740490e-01
2.071001e+15 3.716599e-01 6.743140e-01
2.071001e+15 3.773530e-01 6.745760e-01
2.071001e+15 3.830412e-01 6.748370e-01
2.071001e+15 3.887056e-01 6.750940e-01
2.071001e+15 3.943554e-01 6.753490e-01
2.071001e+15 3.999904e-01 6.756020e-01
2.071001e+15 4.056102e-01 6.758530e-01
2.071001e+15 4.112239e-01 6.761010e-01
2.071001e+15 4.168129e-01 6.763460e-01
