#nu mu I
2.071001e+15 1.000000e-06 5.727090e-01
2.071001e+15 6.146288e-03 6.211560e-01
2.071001e+15 1.228602e-02 6.221700e-01
2.071001e+15 1.842528e-02 6.230370e-01
2.071001e+15 2.456386e-02 6.238340e-01
2.071001e+15 3.070150e-02 6.245880e-01
2.071001e+15 3.684798e-02 6.253050e-01
2.071001e+15 4.298308e-02 6.259930e-01
2.071001e+15 4.911656e-02 6.266530e-01
2.071001e+15 5.524818e-02 6.272890e-01
2.071001e+15 6.137772e-02 6.279050e-01
2.071001e+15 6.751493e-02 6.285010e-01
2.071001e+15 7.363961e-02 6.290810e-01
2.071001e+15 7.976151e-02 6.296450e-01
2.071001e+15 8.588041e-02 6.301940e-01
2.071001e+15 9.199607e-02 6.307300e-01
2.071001e+15 9.810826e-02 6.312540e-01
2.071001e+15 1.042267e-01 6.317670e-01
2.071001e+15 1.103312e-01 6.322690e-01
2.071001e+15 1.164316e-01 6.327600e-01
2.071001e+15 1.225277e-01 6.332430e-01
2.071001e+15 1.286190e-01 6.337160e-01
2.071001e+15 1.347155e-01 6.341820e-01
2.071001e+15 1.407969e-01 6.346380e-01
2.071001e+15 1.468731e-01 6.350880e-01
2.071001e+15 1.529437e-01 6.355300e-01
2.071001e+15 1.590085e-01 6.359650e-01
2.071001e+15 1.650772e-01 6.363940e-01
2.071001e+15 1.711299e-01 6.368160e-01
2.071001e+15 1.771760e-01 6.372310e-01
2.071001e+15 1.832155e-01 6.376410e-01
2.071001e+15 1.892481e-01 6.380450e-01
2.071001e+15 1.952735e-01 6.384440e-01
2.071001e+15 2.013014e-01 6.388360e-01
2.071001e+15 2.073119e-01 6.392240e-01
2.071001e+15 2.133145e-01 6.396080e-01
2.071001e+15 2.193092e-01 6.399860e-01
2.071001e+15 2.252955e-01 6.403590e-01
2.071001e+15 2.312831e-01 6.407280e-01
2.071001e+15 2.372522e-01 6.410920e-01
2.071001e+15 2.432124e-01 6.414520e-01
2.071001e+15 2.491634e-01 6.418070e-01
2.071001e+15 2.551050e-01 6.421580e-01
2.071001e+15 2.610467e-01 6.425060e-01
2.071001e+15 2.669688e-01 6.428490e-01
2.071001e+15 2.728809e-01 6.431880e-01
2.071001e+15 2.787827e-01 6.435240e-01
2.071001e+15 2.846740e-01 6.438560e-01
2.071001e+15 2.905641e-01 6.441850e-01
2.071001e+15 2.964337e-01 6.445100e-01
2.071001e+15 3.022921e-01 6.448320e-01
