# Mass = 1.4 Msun 
# R_sp = 12.03683363 km 
# M/R = 0.1717457529
# R/M = 5.822560285
#alpha #b/R #psi #dcosalpha/dcospsi #toa*C/R
0 0 0 0.6565084942 0 
0.009000121504 0.01110765378 0.01110782336 0.6565084942 6.169148557e-05 
0.01800097214 0.02221530757 0.02221666431 0.6565084943 0.0002467827259 
0.02700328158 0.03332296135 0.03332754125 0.6565084948 0.0005553249681 
0.03600778054 0.04443061513 0.04444147411 0.6565084962 0.0009874021274 
0.04501520136 0.05553826891 0.05555948517 0.6565084992 0.001543133789 
0.0540262785 0.0666459227 0.06668259985 0.6565085045 0.002222673091 
0.06304174911 0.07775357648 0.0778118475 0.6565085133 0.003026209895 
0.07206235357 0.08886123026 0.0889482622 0.6565085268 0.003953963223 
0.08108883603 0.09996888405 0.1000928836 0.6565085465 0.005006190643 
0.09012194501 0.1110765378 0.1112467576 0.6565085741 0.006183186251 
0.09916243393 0.1221841916 0.1224109376 0.6565086113 0.007485278696 
0.1082110617 0.1332918454 0.1335864847 0.6565086604 0.008912831494 
0.1172685934 0.1443994992 0.1447744693 0.6565087236 0.01046624649 
0.1263358006 0.155507153 0.1559759712 0.6565088036 0.01214596188 
0.1354134625 0.1666148067 0.1671920815 0.656508903 0.0139524527 
0.1445023659 0.1777224605 0.1784239024 0.6565090249 0.01588623453 
0.1536033066 0.1888301143 0.1896725491 0.6565091726 0.01794785961 
0.1627170894 0.1999377681 0.2009391504 0.6565093497 0.02013792258 
0.1718445291 0.2110454219 0.2122248497 0.6565095601 0.02245705636 
0.1809864512 0.2221530757 0.2235308061 0.6565098077 0.02490593831 
0.1901436928 0.2332607294 0.2348581955 0.6565100971 0.02748528248 
0.199317103 0.2443683832 0.2462082117 0.656510433 0.0301958517 
0.2085075439 0.255476037 0.2575820676 0.6565108205 0.03303846164 
0.2177158914 0.2665836908 0.2689809966 0.6565112649 0.03601394455 
0.2269430362 0.2776913446 0.2804062536 0.6565117721 0.03912320846 
0.2361898843 0.2887989984 0.2918591162 0.6565123482 0.0423672003 
0.2454573585 0.2999066521 0.3033408865 0.6565129998 0.04574691862 
0.2547463988 0.3110143059 0.3148528924 0.6565137338 0.04926340707 
0.2640579638 0.3221219597 0.3263964888 0.6565145578 0.05291776838 
0.2733930315 0.3332296135 0.3379730597 0.6565154796 0.05671115742 
0.2827526005 0.3443372673 0.3495840193 0.6565165076 0.06064478736 
0.2921376915 0.3554449211 0.3612308143 0.6565176509 0.06471992821 
0.3015493479 0.3665525748 0.3729149251 0.6565189188 0.06893790726 
0.3109886376 0.3776602286 0.3846378684 0.6565203216 0.07330012078 
0.320456654 0.3887678824 0.3964011986 0.65652187 0.0778080257 
0.3299545178 0.3998755362 0.4082065105 0.6565235753 0.08246314918 
0.3394833782 0.41098319 0.4200554412 0.6565254499 0.0872670884 
0.3490444144 0.4220908438 0.4319496724 0.6565275065 0.09222151023 
0.3586388379 0.4331984975 0.4438909334 0.656529759 0.09732816083 
0.3682678934 0.4443061513 0.4558810033 0.6565322218 0.1025888672 
0.3779328616 0.4554138051 0.4679217141 0.6565349107 0.1080055389 
0.3876350605 0.4665214589 0.4800149536 0.6565378422 0.113580167 
0.3973758477 0.4776291127 0.4921626689 0.6565410338 0.1193148389 
0.4071566231 0.4887367665 0.5043668692 0.6565445044 0.1252117367 
0.4169788306 0.4998444202 0.5166296302 0.656548274 0.1312731431 
0.4268439613 0.510952074 0.5289530975 0.6565523639 0.1375014387 
0.4367535559 0.5220597278 0.5413394908 0.6565567968 0.1438991208 
0.4467092078 0.5331673816 0.5537911087 0.6565615972 0.1504687994 
0.4567125661 0.5442750354 0.5663103329 0.6565667908 0.1572132092 
0.466765339 0.5553826891 0.5788996339 0.6565724055 0.1641352054 
0.4768692977 0.5664903429 0.5915615759 0.6565784709 0.1712377856 
0.4870262797 0.5775979967 0.6042988234 0.6565850186 0.1785240892 
0.4972381935 0.5887056505 0.6171141468 0.6565920828 0.1859974013 
0.5075070228 0.5998133043 0.6300104297 0.6565996997 0.1936611699 
0.5178348316 0.6109209581 0.6429906763 0.6566079084 0.2015190152 
0.5282237692 0.6220286118 0.6560580193 0.6566167509 0.2095747286 
0.5386760757 0.6331362656 0.6692157282 0.656626272 0.2178322997 
0.5491940886 0.6442439194 0.6824672194 0.6566365202 0.2262959179 
0.5597802491 0.6553515732 0.6958160656 0.6566475476 0.234969985 
0.5704371094 0.666459227 0.7092660077 0.6566594103 0.2438591361 
0.5811673406 0.6775668808 0.7228209659 0.6566721688 0.2529682545 
0.5919737412 0.6886745345 0.7364850536 0.6566858885 0.2623024765 
0.6028592464 0.6997821883 0.7502625917 0.6567006398 0.2718672311 
0.6138269384 0.7108898421 0.7641581238 0.6567164992 0.2816682371 
0.6248800578 0.7219974959 0.7781764342 0.6567335495 0.2917115444 
0.6360220153 0.7331051497 0.7923225665 0.6567518805 0.3020035521 
0.647256406 0.7442128035 0.8066018444 0.6567715896 0.3125510351 
0.6585870237 0.7553204572 0.8210198953 0.656792783 0.3233611538 
0.6700178779 0.766428111 0.8355826752 0.6568155761 0.3344415269 
0.6815532116 0.7775357648 0.8502964976 0.6568400952 0.3458002431 
